CMDLINE /home/anthony/anaconda3/envs/thesis/bin/python3.10 test-profiler.py
MEM 0.582031 1664878792.5651
MEM 28.789062 1664878792.6653
MEM 50.851562 1664878792.7656
MEM 68.785156 1664878792.8658
MEM 85.875000 1664878792.9661
MEM 98.074219 1664878793.0664
MEM 113.453125 1664878793.1666
MEM 122.265625 1664878793.2669
MEM 139.558594 1664878793.3672
MEM 147.308594 1664878793.4674
MEM 159.753906 1664878793.5677
MEM 162.332031 1664878793.6680
MEM 176.554688 1664878793.7682
MEM 178.097656 1664878793.8685
MEM 178.097656 1664878793.9687
MEM 178.097656 1664878794.0689
MEM 178.097656 1664878794.1692
MEM 178.097656 1664878794.2694
MEM 181.128906 1664878794.3697
MEM 183.707031 1664878794.4699
MEM 204.058594 1664878794.5702
MEM 208.250000 1664878794.6704
MEM 208.250000 1664878794.7707
MEM 208.250000 1664878794.8709
MEM 208.765625 1664878794.9712
MEM 208.765625 1664878795.0714
MEM 209.023438 1664878795.1717
MEM 209.023438 1664878795.2719
MEM 209.023438 1664878795.3722
MEM 209.023438 1664878795.4724
MEM 209.023438 1664878795.5727
MEM 209.281250 1664878795.6729
MEM 209.281250 1664878795.7732
MEM 209.281250 1664878795.8734
MEM 211.925781 1664878795.9737
MEM 211.925781 1664878796.0739
MEM 212.179688 1664878796.1742
MEM 212.179688 1664878796.2744
MEM 212.179688 1664878796.3747
MEM 212.179688 1664878796.4750
MEM 212.179688 1664878796.5752
MEM 212.437500 1664878796.6754
MEM 212.437500 1664878796.7757
MEM 212.437500 1664878796.8759
MEM 212.695312 1664878796.9762
MEM 212.695312 1664878797.0765
MEM 212.953125 1664878797.1767
MEM 212.953125 1664878797.2770
MEM 212.953125 1664878797.3773
MEM 212.953125 1664878797.4775
MEM 212.953125 1664878797.5778
MEM 212.953125 1664878797.6780
MEM 213.210938 1664878797.7783
MEM 213.210938 1664878797.8784
MEM 213.468750 1664878797.9787
MEM 213.468750 1664878798.0790
MEM 213.468750 1664878798.1792
MEM 213.468750 1664878798.2794
MEM 213.468750 1664878798.3796
MEM 213.726562 1664878798.4799
MEM 213.726562 1664878798.5802
MEM 213.726562 1664878798.6804
MEM 213.984375 1664878798.7807
MEM 213.984375 1664878798.8809
MEM 213.984375 1664878798.9811
MEM 213.984375 1664878799.0814
MEM 214.242188 1664878799.1816
MEM 214.242188 1664878799.2819
MEM 214.242188 1664878799.3821
MEM 214.242188 1664878799.4824
MEM 214.242188 1664878799.5826
MEM 214.500000 1664878799.6829
MEM 214.500000 1664878799.7831
MEM 214.500000 1664878799.8833
MEM 214.757812 1664878799.9836
MEM 214.757812 1664878800.0839
MEM 215.015625 1664878800.1841
MEM 215.015625 1664878800.2846
MEM 215.015625 1664878800.3849
MEM 215.015625 1664878800.4851
MEM 215.015625 1664878800.5854
MEM 215.273438 1664878800.6856
MEM 215.273438 1664878800.7858
MEM 215.273438 1664878800.8861
MEM 215.273438 1664878800.9863
MEM 215.273438 1664878801.0866
MEM 215.531250 1664878801.1869
MEM 215.531250 1664878801.2871
MEM 215.531250 1664878801.3874
MEM 215.789062 1664878801.4876
MEM 215.789062 1664878801.5879
MEM 215.789062 1664878801.6881
MEM 216.046875 1664878801.7884
MEM 216.046875 1664878801.8886
MEM 216.046875 1664878801.9889
MEM 216.046875 1664878802.0891
MEM 216.304688 1664878802.1894
MEM 216.304688 1664878802.2897
MEM 216.304688 1664878802.3899
MEM 216.304688 1664878802.4902
MEM 216.304688 1664878802.5904
MEM 216.562500 1664878802.6907
MEM 216.562500 1664878802.7910
MEM 216.562500 1664878802.8912
MEM 216.820312 1664878802.9914
MEM 216.820312 1664878803.0916
MEM 217.078125 1664878803.1919
MEM 217.078125 1664878803.2922
MEM 217.078125 1664878803.3924
MEM 217.078125 1664878803.4926
MEM 217.078125 1664878803.5929
MEM 217.335938 1664878803.6931
MEM 217.335938 1664878803.7933
MEM 217.335938 1664878803.8936
MEM 217.335938 1664878803.9939
MEM 217.335938 1664878804.0941
MEM 217.593750 1664878804.1944
MEM 217.593750 1664878804.2946
MEM 217.593750 1664878804.3949
MEM 222.773438 1664878804.4951
MEM 232.054688 1664878804.5954
MEM 237.726562 1664878804.6956
MEM 234.226562 1664878804.7959
MEM 242.957031 1664878804.8962
MEM 231.175781 1664878804.9964
MEM 228.539062 1664878805.0967
MEM 226.730469 1664878805.1970
